Manifold,Volume,Homology_Rank,Torsion_Order_Proxy,Lambda_c
"o9_00315(0,0)",3.656250886959958,2,1.0,3.656250886959958
"o9_00316(0,0)",3.6562656824867164,2,1.0,3.6562656824867164
"o9_00317(0,0)",3.656265682486714,2,1.0,3.656265682486714
"o9_00318(0,0)",3.656302710672896,2,1.0,3.656302710672896
"o9_00319(0,0)",3.6563027106728967,2,1.0,3.6563027106728967
"o9_00320(0,0)",3.656334264492799,2,1.0,3.656334264492799
"o9_00321(0,0)",3.656334264492798,2,1.0,3.656334264492798
"o9_00322(0,0)",3.6563406760207386,1,1.0,3.6563406760207386
"o9_00323(0,0)",3.6563460707203674,1,1.0,3.6563460707203674
"o9_00324(0,0)",3.6564528496738413,2,1.0,3.6564528496738413
"o9_00325(0,0)",3.6564528496738404,2,1.0,3.6564528496738404
"o9_00326(0,0)",3.656484379057416,2,1.0,3.656484379057416
"o9_00327(0,0)",3.656484379057416,2,1.0,3.656484379057416
"o9_00328(0,0)",3.6565427728152673,2,1.0,3.6565427728152673
"o9_00329(0,0)",3.6565427728152695,2,1.0,3.6565427728152695
"o9_00330(0,0)",3.656561155170131,2,1.0,3.656561155170131
"o9_00331(0,0)",3.656561155170128,2,1.0,3.656561155170128
"o9_00332(0,0)",3.65660425366413,1,1.0,3.65660425366413
"o9_00333(0,0)",3.656614144035936,1,1.0,3.656614144035936
"o9_00334(0,0)",3.6566959870370446,2,1.0,3.6566959870370446
"o9_00335(0,0)",3.656695987037041,2,1.0,3.656695987037041
"o9_00336(0,0)",3.6567015066294015,2,1.0,3.6567015066294015
"o9_00337(0,0)",3.6567015066294015,2,1.0,3.6567015066294015
"o9_00338(0,0)",3.656709105191238,1,1.0,3.656709105191238
"o9_00339(0,0)",3.6567218238146757,1,1.0,3.6567218238146757
"o9_00340(0,0)",3.6567764202315964,1,1.0,3.6567764202315964
"o9_00341(0,0)",3.6567888102972117,1,1.0,3.6567888102972117
"o9_00342(0,0)",3.656873339523483,2,1.0,3.656873339523483
"o9_00343(0,0)",3.656873339523484,2,1.0,3.656873339523484
"o9_00344(0,0)",3.6568777807755732,2,1.0,3.6568777807755732
"o9_00345(0,0)",3.656877780775576,2,1.0,3.656877780775576
"o9_00346(0,0)",3.656892371459075,1,1.0,3.656892371459075
"o9_00347(0,0)",3.656900839953928,2,1.0,3.656900839953928
"o9_00348(0,0)",3.656900839953928,2,1.0,3.656900839953928
"o9_00349(0,0)",3.656903603933157,1,1.0,3.656903603933157
"o9_00350(0,0)",3.656951014651905,1,1.0,3.656951014651905
"o9_00351(0,0)",3.656957006416418,1,1.0,3.656957006416418
"o9_00352(0,0)",3.6569718503416837,1,1.0,3.6569718503416837
"o9_00353(0,0)",3.6569807599605,1,1.0,3.6569807599605
"o9_00354(0,0)",3.657018667906613,2,1.0,3.657018667906613
"o9_00355(0,0)",3.657018667906618,2,1.0,3.657018667906618
"o9_00356(0,0)",3.6570270418543753,2,1.0,3.6570270418543753
"o9_00357(0,0)",3.6570343230252282,1,1.0,3.6570343230252282
"o9_00358(0,0)",3.6570457110962415,2,1.0,3.6570457110962415
"o9_00359(0,0)",3.6570457110962407,2,1.0,3.6570457110962407
"o9_00360(0,0)",3.6570497564767237,1,1.0,3.6570497564767237
"o9_00361(0,0)",3.6570535226131895,2,1.0,3.6570535226131895
"o9_00362(0,0)",3.6570535226131886,2,1.0,3.6570535226131886
"o9_00363(0,0)",3.6570598261296077,2,1.0,3.6570598261296077
"o9_00364(0,0)",3.657120210101574,1,1.0,3.657120210101574
"o9_00365(0,0)",3.657124785483246,2,1.0,3.657124785483246
"o9_00366(0,0)",3.65712478548324,2,1.0,3.65712478548324
"o9_00367(0,0)",3.657131359227524,2,1.0,3.657131359227524
"o9_00368(0,0)",3.6571398062849236,1,1.0,3.6571398062849236
